Airline,Month,Passengers
7C,2,67253.0
7C,3,60869.0
7C,4,65926.0
7C,5,67597.0
7C,6,71826.0
7C,7,73051.0
7C,8,80084.0
7C,10,55655.0
7C,11,37649.0
7C,12,53846.0
7H,1,29540.0
7H,2,26701.0
7H,3,32439.0
7H,4,31128.0
7H,5,36756.0
7H,6,39785.0
7H,7,43979.0
7H,8,45623.0
7H,9,35055.0
7H,10,32916.0
7H,11,28123.0
7H,12,28046.0
7L,1,0.0
7L,2,0.0
7L,3,0.0
7L,4,0.0
7L,5,0.0
7L,6,0.0
7L,7,0.0
7L,8,0.0
7L,9,0.0
7L,10,0.0
7L,11,0.0
7L,12,0.0
7S,1,94.0
7S,2,40.0
7S,3,154.0
7S,4,121.0
7S,5,415.0
7S,6,352.0
7S,7,322.0
7S,8,354.0
7S,9,349.0
7S,10,346.0
7S,11,142.0
7S,12,56.0
8C,1,0.0
8C,2,0.0
8C,3,0.0
8C,4,0.0
8C,5,0.0
8C,6,0.0
8C,7,0.0
8C,8,0.0
8C,9,0.0
8C,10,49.0
8C,11,0.0
8C,12,0.0
8E,1,9641.0
8E,2,6734.0
8E,3,9751.0
8E,4,10086.0
8E,5,9423.0
8E,6,6409.0
8E,7,8535.0
8E,8,11542.0
8E,9,11725.0
8E,10,14284.0
8E,11,11777.0
8E,12,7715.0
8R,1,2873.0
8R,2,2107.0
8R,3,2840.0
8R,4,11495.0
8R,5,10119.0
8R,6,20104.0
8R,7,22443.0
8R,8,23667.0
8R,9,12474.0
8R,10,21968.0
8R,11,3717.0
8R,12,2629.0
8V,1,4688.0
8V,2,4573.0
8V,3,6195.0
8V,4,5835.0
8V,5,6484.0
8V,6,7131.0
8V,7,5184.0
8V,8,8061.0
8V,9,5846.0
8V,10,5267.0
8V,11,5752.0
8V,12,5889.0
9E,1,820155.0
9E,2,859898.0
9E,3,1125829.0
9E,4,1175620.0
9E,5,1244324.0
9E,6,1347600.0
9E,7,1288705.0
9E,8,1319185.0
9E,9,1088382.0
9E,10,1218889.0
9E,11,1143228.0
9E,12,1184248.0
9K,1,39844.0
9K,2,39224.0
9K,3,47746.0
9K,4,46917.0
9K,5,54470.0
9K,6,47924.0
9K,7,53833.0
9K,8,56088.0
9K,9,45985.0
9K,10,40571.0
9K,11,35040.0
9K,12,33513.0
9S,1,0.0
9S,2,0.0
9S,3,0.0
9S,4,0.0
9S,5,0.0
9S,6,0.0
9S,7,0.0
9S,9,0.0
9S,10,0.0
9S,11,0.0
9S,12,0.0
9V,1,12662.0
9V,2,8484.0
9V,3,8027.0
9V,4,7488.0
9V,5,7435.0
9V,6,8657.0
9V,7,10945.0
9V,8,11154.0
9V,9,10617.0
9V,10,7694.0
9V,11,8729.0
9V,12,9877.0
9X,1,5661.0
9X,2,5129.0
9X,3,7065.0
9X,4,7348.0
9X,5,8096.0
9X,6,8396.0
9X,7,9751.0
9X,8,9649.0
9X,9,8594.0
9X,10,9575.0
9X,11,8467.0
9X,12,8325.0
A0,1,8511.0
A0,2,6769.0
A0,3,10555.0
A0,4,8794.0
A0,5,7862.0
A0,6,8527.0
A0,7,7092.0
A0,8,6232.0
A0,9,234.0
AA,1,11573084.0
AA,2,10984324.0
AA,3,13234973.0
AA,4,12614697.0
AA,5,13315037.0
AA,6,13857591.0
AA,7,14283773.0
AA,8,13756812.0
AA,9,11472905.0
AA,10,12909910.0
AA,11,12268678.0
AA,12,12517915.0
AAT,1,966.0
AAT,2,942.0
AAT,3,1131.0
AAT,4,1067.0
AAT,5,1179.0
AAT,6,1019.0
AAT,7,1207.0
AAT,8,1547.0
AAT,9,742.0
AAT,10,939.0
AAT,11,1156.0
AAT,12,1704.0
ABX,1,0.0
ABX,2,0.0
ABX,3,0.0
ABX,4,0.0
ABX,5,0.0
ABX,6,0.0
ABX,7,0.0
ABX,8,0.0
ABX,9,0.0
ABX,10,0.0
ABX,11,0.0
ABX,12,0.0
AC,1,360461.0
AC,2,379600.0
AC,3,448744.0
AC,4,406711.0
AC,5,401489.0
AC,6,480513.0
AC,7,538036.0
AC,8,540600.0
AC,9,448763.0
AC,10,420263.0
AC,11,398885.0
AC,12,445528.0
AD,1,68230.0
AD,2,51201.0
AD,3,52423.0
AD,4,54832.0
AD,5,60441.0
AD,6,57634.0
AD,7,62946.0
AD,8,54415.0
AD,9,45603.0
AD,10,44372.0
AD,11,41405.0
AD,12,67363.0
ADB,1,0.0
ADB,2,0.0
ADB,3,0.0
ADB,4,0.0
ADB,5,0.0
ADB,6,0.0
ADB,7,0.0
ADB,8,0.0
ADB,9,0.0
ADB,10,0.0
ADB,11,0.0
ADB,12,0.0
AF,1,239096.0
AF,2,204088.0
AF,3,272546.0
AF,4,286023.0
AF,5,342823.0
AF,6,390348.0
AF,7,423783.0
AF,8,435782.0
AF,9,362640.0
AF,10,343047.0
AF,11,273482.0
AF,12,276083.0
AI,1,81426.0
AI,2,69541.0
AI,3,79341.0
AI,4,73275.0
AI,5,80708.0
AI,6,83004.0
AI,7,88598.0
AI,8,85480.0
AI,9,68263.0
AI,10,76261.0
AI,11,77309.0
AI,12,78970.0
AJQ,1,6870.0
AJQ,2,6895.0
AJQ,3,7012.0
AJQ,4,5370.0
AJQ,5,6825.0
AJQ,6,6714.0
AJQ,7,7924.0
AJQ,8,7185.0
AJQ,9,5748.0
AJQ,10,6310.0
AJQ,11,8283.0
AM,1,273518.0
AM,2,199511.0
AM,3,242579.0
AM,4,236850.0
AM,5,246210.0
AM,6,273464.0
AM,7,312777.0
AM,8,289445.0
AM,9,218250.0
AM,10,230911.0
AM,11,244074.0
AM,12,281379.0
AMQ,1,967.0
AMQ,2,1224.0
AMQ,3,1071.0
AMQ,4,331.0
AMQ,5,940.0
AMQ,6,777.0
AMQ,7,187.0
AMQ,8,139.0
AMQ,9,0.0
AMQ,10,168.0
AMQ,11,276.0
AMQ,12,456.0
AN,5,989.0
AN,7,2256.0
AN,8,2414.0
AN,9,1876.0
AN,10,2141.0
AR,1,41958.0
AR,2,38648.0
AR,3,41841.0
AR,4,38347.0
AR,5,38761.0
AR,6,37346.0
AR,7,40454.0
AR,8,37561.0
AR,9,36207.0
AR,10,33834.0
AR,11,30312.0
AR,12,34716.0
AS,1,1991185.0
AS,2,1943444.0
AS,3,2341416.0
AS,4,3078207.0
AS,5,3219468.0
AS,6,3331060.0
AS,7,3473101.0
AS,8,3327854.0
AS,9,2803880.0
AS,10,2937143.0
AS,11,2857150.0
AS,12,2840324.0
AT,1,17044.0
AT,2,11802.0
AT,3,20089.0
AT,4,19155.0
AT,5,17383.0
AT,6,24701.0
AT,7,38281.0
AT,8,34038.0
AT,9,24020.0
AT,10,17234.0
AT,11,13323.0
AT,12,18619.0
AV,1,136614.0
AV,2,112189.0
AV,3,134151.0
AV,4,126544.0
AV,5,134122.0
AV,6,143640.0
AV,7,156979.0
AV,8,157972.0
AV,9,144907.0
AV,10,144368.0
AV,11,153966.0
AV,12,165716.0
AX,1,269394.0
AX,2,257127.0
AX,3,289577.0
AX,4,311479.0
AX,5,324928.0
AX,6,327826.0
AX,7,322411.0
AX,8,318157.0
AX,9,273712.0
AX,10,267272.0
AX,11,244120.0
AX,12,268795.0
AY,1,17352.0
AY,2,14655.0
AY,3,19902.0
AY,4,19045.0
AY,5,34980.0
AY,6,38379.0
AY,7,40459.0
AY,8,37911.0
AY,9,31309.0
AY,10,30060.0
AY,11,23798.0
AY,12,21886.0
AZ,1,53183.0
AZ,2,43104.0
AZ,3,71885.0
AZ,4,90866.0
AZ,5,101051.0
AZ,6,117989.0
AZ,7,122600.0
AZ,8,123612.0
AZ,9,112275.0
AZ,10,96249.0
AZ,11,71060.0
AZ,12,66610.0
B0,1,4542.0
B0,2,3521.0
B0,3,4975.0
B0,4,5952.0
B0,5,5473.0
B0,6,6463.0
B0,7,5710.0
B0,8,4576.0
B0,9,6074.0
B0,10,6379.0
B0,11,5128.0
B0,12,5097.0
B6,1,3189521.0
B6,2,3106666.0
B6,3,3692649.0
B6,4,3643614.0
B6,5,3678768.0
B6,6,3720368.0
