Airline,Origin_Dest,Plane_Type_Text,Passengers,Airport 1,Airport 2
NZ,LAX_LHR,Boeing 777-300/300ER/333ER,418598.0,LAX,LHR
EY,AUH_JFK,Airbus Industrie A380-800,418023.0,AUH,JFK
CM,MCO_PTY,Boeing 737-800,417722.0,MCO,PTY
AA,AUS_DFW,Boeing 737-800,417180.0,AUS,DFW
DL,ATL_MCO,Airbus Industrie A321/Lr,417023.0,ATL,MCO
DL,JFK_LAX,Boeing 767-400/ER,416543.0,JFK,LAX
DL,JFK_LAS,Boeing 737-900ER,416368.0,JFK,LAS
QX,GEG_SEA,De Havilland DHC8-400 Dash-8,416096.0,GEG,SEA
AC,ORD_YYZ,Embraer 190,414960.0,ORD,YYZ
WN,BWI_LAS,Boeing 737-800,413967.0,BWI,LAS
AA,ORD_SFO,Boeing 737-800,413360.0,ORD,SFO
DL,LAX_SLC,Boeing 737-800,412900.0,LAX,SLC
UA,LGA_ORD,Airbus Industrie A319,412599.0,LGA,ORD
WN,BDL_BWI,Boeing 737-700/700LR/Max 7,412134.0,BDL,BWI
DL,ATL_SDF,McDonnell Douglas DC9 Super 80/MD81/82/83/88,410124.0,ATL,SDF
DL,ATL_DEN,Boeing 737-900ER,410095.0,ATL,DEN
WN,DEN_SNA,Boeing 737-700/700LR/Max 7,409545.0,DEN,SNA
B6,BOS_PBI,Airbus Industrie A320-100/200,409153.0,BOS,PBI
PD,EWR_YTZ,De Havilland DHC8-400 Dash-8,408596.0,EWR,YTZ
BW,JFK_POS,Boeing 737-800,408504.0,JFK,POS
DL,ATL_CLE,McDonnell Douglas DC9 Super 80/MD81/82/83/88,408248.0,ATL,CLE
DL,DEN_MSP,McDonnell Douglas MD-90,407421.0,DEN,MSP
AA,ORD_SEA,Boeing 737-800,406572.0,ORD,SEA
WN,ATL_MCO,Boeing 737-700/700LR/Max 7,405909.0,ATL,MCO
AA,HAV_MIA,Boeing 737-800,405280.0,HAV,MIA
DL,ATL_MCI,McDonnell Douglas DC9 Super 80/MD81/82/83/88,404383.0,ATL,MCI
AA,DEN_ORD,Boeing 737-800,404344.0,DEN,ORD
UA,DEN_IAD,Boeing 737-900ER,404143.0,DEN,IAD
RV,FLL_YUL,Boeing 767-300/300ER,403998.0,FLL,YUL
DL,ATL_GSO,McDonnell Douglas DC9 Super 80/MD81/82/83/88,402072.0,ATL,GSO
WN,DEN_SAN,Boeing 737-700/700LR/Max 7,401979.0,DEN,SAN
DL,ATL_SNA,Boeing 757-200,401652.0,ATL,SNA
WN,DAL_MDW,Boeing 737-700/700LR/Max 7,401592.0,DAL,MDW
B6,BOS_RSW,Airbus Industrie A320-100/200,401444.0,BOS,RSW
KE,ICN_JFK,Airbus Industrie A380-800,400531.0,ICN,JFK
WN,BWI_FLL,Boeing 737-800,400295.0,BWI,FLL
WN,DCA_MDW,Boeing 737-700/700LR/Max 7,400236.0,DCA,MDW
AA,DFW_EWR,Boeing 737-800,400222.0,DFW,EWR
WN,EWR_MDW,Boeing 737-700/700LR/Max 7,397906.0,EWR,MDW
AA,LAS_ORD,Boeing 737-800,397865.0,LAS,ORD
WN,BNA_MDW,Boeing 737-700/700LR/Max 7,397306.0,BNA,MDW
WN,OAK_PDX,Boeing 737-700/700LR/Max 7,395971.0,OAK,PDX
DL,ATL_MKE,McDonnell Douglas DC9 Super 80/MD81/82/83/88,395365.0,ATL,MKE
UA,LHR_SFO,Boeing 777-200ER/200LR/233LR,395318.0,LHR,SFO
B6,FLL_SJU,Airbus Industrie A320-100/200,395306.0,FLL,SJU
B6,BOS_LAX,Airbus Industrie A321/Lr,394034.0,BOS,LAX
AS,ORD_SEA,Boeing 737-900ER,393623.0,ORD,SEA
VS,LGW_MCO,Boeing 747-400,392345.0,LGW,MCO
DL,ATL_SRQ,McDonnell Douglas DC9 Super 80/MD81/82/83/88,388959.0,ATL,SRQ
DL,DTW_LAS,Boeing 737-900ER,386710.0,DTW,LAS
EI,DUB_JFK,Airbus Industrie A330-200,386378.0,DUB,JFK
NK,EWR_FLL,Airbus Industrie A321/Lr,386194.0,EWR,FLL
WN,BWI_MDW,Boeing 737-700/700LR/Max 7,385324.0,BWI,MDW
BA,DEN_LHR,Boeing 747-400,385190.0,DEN,LHR
AA,DFW_ONT,Boeing 737-800,385139.0,DFW,ONT
WN,MCO_MDW,Boeing 737-700/700LR/Max 7,384381.0,MCO,MDW
MU,JFK_PVG,Boeing 777-300/300ER/333ER,384338.0,JFK,PVG
AA,COS_DFW,Boeing 737-800,384164.0,COS,DFW
DL,ATL_PIT,McDonnell Douglas DC9 Super 80/MD81/82/83/88,383509.0,ATL,PIT
DL,AMS_MSP,Airbus Industrie A330-300,383155.0,AMS,MSP
WN,LAS_SFO,Boeing 737-700/700LR/Max 7,381936.0,LAS,SFO
DL,ATL_LAX,Airbus Industrie A321/Lr,380296.0,ATL,LAX
DL,AMS_ATL,Airbus Industrie A330-300,379103.0,AMS,ATL
WN,ATL_BWI,Boeing 737-700/700LR/Max 7,378982.0,ATL,BWI
WN,ATL_MDW,Boeing 737-700/700LR/Max 7,378909.0,ATL,MDW
AA,BOS_DFW,Boeing 737-800,378541.0,BOS,DFW
YX,DCA_LGA,Embraer ERJ-175,378511.0,DCA,LGA
DL,ATL_MSP,Boeing 757-200,378380.0,ATL,MSP
WN,AUS_HOU,Boeing 737-700/700LR/Max 7,378225.0,AUS,HOU
MU,LAX_PVG,Boeing 777-300/300ER/333ER,377346.0,LAX,PVG
OZ,ICN_LAX,Airbus Industrie A380-800,376415.0,ICN,LAX
B6,FLL_LGA,Airbus Industrie A320-100/200,376075.0,FLL,LGA
AA,ORD_SNA,Boeing 737-800,375464.0,ORD,SNA
UA,LAX_ORD,Boeing 737-900ER,374810.0,LAX,ORD
HX,HKG_LAX,Airbus Industrie A350-900,374466.0,HKG,LAX
DL,ATL_EWR,Boeing 717-200,373828.0,ATL,EWR
DL,JFK_LHR,Airbus Industrie A330-200,373282.0,JFK,LHR
SU,JFK_SVO,Boeing 777-300/300ER/333ER,372967.0,JFK,SVO
VS,LHR_SFO,B787-900 Dreamliner,371954.0,LHR,SFO
WN,DEN_MSP,Boeing 737-700/700LR/Max 7,371731.0,DEN,MSP
WN,SAN_SMF,Boeing 737-800,371685.0,SAN,SMF
WN,ATL_TPA,Boeing 737-700/700LR/Max 7,371611.0,ATL,TPA
WN,HOU_SAT,Boeing 737-700/700LR/Max 7,371538.0,HOU,SAT
AA,CLT_DCA,Airbus Industrie A319,371042.0,CLT,DCA
BA,LHR_ORD,Boeing 747-400,370956.0,LHR,ORD
WN,CMH_MDW,Boeing 737-700/700LR/Max 7,370836.0,CMH,MDW
WN,PHX_SLC,Boeing 737-700/700LR/Max 7,370703.0,PHX,SLC
AA,LAS_PHL,Airbus Industrie A321/Lr,370559.0,LAS,PHL
NZ,AKL_LAX,Boeing 777-300/300ER/333ER,370234.0,AKL,LAX
CA,LAX_PEK,Boeing 777-300/300ER/333ER,369768.0,LAX,PEK
DL,ATL_CMH,McDonnell Douglas DC9 Super 80/MD81/82/83/88,368948.0,ATL,CMH
DL,LGA_MCO,Airbus Industrie A321/Lr,368439.0,LGA,MCO
WN,BWI_MHT,Boeing 737-700/700LR/Max 7,368155.0,BWI,MHT
WN,PHX_SMF,Boeing 737-700/700LR/Max 7,364729.0,PHX,SMF
AS,DEN_SEA,Boeing 737-900ER,364343.0,DEN,SEA
B6,ATL_BOS,Airbus Industrie A320-100/200,364171.0,ATL,BOS
DL,DTW_MCO,Boeing 757-200,363949.0,DTW,MCO
DL,JFK_LAX,Boeing 767-300/300ER,363672.0,JFK,LAX
AA,CLT_MIA,Boeing 737-800,363565.0,CLT,MIA
AA,PHX_SNA,Boeing 737-800,363310.0,PHX,SNA
WN,ABQ_HOU,Boeing 737-700/700LR/Max 7,363270.0,ABQ,HOU
WN,DAL_STL,Boeing 737-700/700LR/Max 7,363004.0,DAL,STL
WN,ALB_BWI,Boeing 737-700/700LR/Max 7,362979.0,ALB,BWI
AF,ATL_CDG,Boeing 777-300/300ER/333ER,362604.0,ATL,CDG
AA,DFW_SJC,Boeing 737-800,362042.0,DFW,SJC
UA,IAH_SFO,Boeing 737-900ER,361347.0,IAH,SFO
