Airline,Airport,Route_Type,Destination_Region,Passengers
CP,SEA,Domestic,Domestic,807695.0
Y4,GDL,International,International,807167.0
WN,EWR,Domestic,Domestic,800757.0
G4,PGD,Domestic,Domestic,790094.0
NK,TPA,Domestic,Domestic,788457.0
B6,SFO,Domestic,Domestic,787743.0
CA,PEK,International,International,781163.0
WN,BDL,Domestic,Domestic,768830.0
DL,LAX,International,Domestic,768683.0
WN,BUF,Domestic,Domestic,767897.0
AA,BNA,Domestic,Domestic,767371.0
UA,DFW,Domestic,Domestic,761181.0
WN,OKC,Domestic,Domestic,760562.0
WN,ELP,Domestic,Domestic,760369.0
UA,CLE,Domestic,Domestic,757181.0
G4,AZA,Domestic,Domestic,756121.0
AA,BWI,Domestic,Domestic,752391.0
F9,PHL,Domestic,Domestic,750498.0
KV,YYZ,International,International,747303.0
UA,MSY,Domestic,Domestic,746935.0
LX,ZRH,International,International,742613.0
EV,EWR,Domestic,Domestic,731568.0
AS,SJC,Domestic,Domestic,731453.0
AC,LAX,International,Domestic,722755.0
WS,YYC,International,International,721822.0
DI,LGW,International,International,721415.0
YX,MIA,Domestic,Domestic,717930.0
NK,BOS,Domestic,Domestic,708912.0
FI,KEF,International,International,698458.0
DL,JAX,Domestic,Domestic,696765.0
AA,SJU,Domestic,Domestic,695010.0
NK,MSY,Domestic,Domestic,691629.0
G7,ORD,Domestic,Domestic,691385.0
NK,MYR,Domestic,Domestic,686057.0
YX,CMH,Domestic,Domestic,682639.0
9E,MSP,Domestic,Domestic,677535.0
YX,CLT,Domestic,Domestic,674389.0
OO,SEA,Domestic,Domestic,673652.0
UA,LAX,International,Domestic,665789.0
4O,MEX,International,International,664751.0
NK,LGA,Domestic,Domestic,661993.0
DL,IND,Domestic,Domestic,661076.0
OO,PHX,Domestic,Domestic,660050.0
WS,YVR,International,International,658094.0
AA,PIT,Domestic,Domestic,657083.0
DL,MKE,Domestic,Domestic,653736.0
AA,RSW,Domestic,Domestic,653452.0
NH,NRT,International,International,650595.0
YX,IND,Domestic,Domestic,649028.0
UA,FRA,International,International,646497.0
VX,SFO,Domestic,Domestic,642247.0
C5,EWR,Domestic,Domestic,642235.0
AV,BOG,International,International,634050.0
B6,LGA,Domestic,Domestic,633030.0
UA,MIA,Domestic,Domestic,629675.0
AA,ABQ,Domestic,Domestic,627952.0
HA,HNL,International,Domestic,627652.0
AA,DTW,Domestic,Domestic,627245.0
DL,HNL,Domestic,Domestic,624715.0
MU,PVG,International,International,620231.0
B6,LAS,Domestic,Domestic,616893.0
WN,FLL,International,Domestic,616244.0
DL,EWR,Domestic,Domestic,614037.0
AA,PBI,Domestic,Domestic,611989.0
IB,MAD,International,International,608280.0
B6,TPA,Domestic,Domestic,607524.0
WN,JAX,Domestic,Domestic,606547.0
BA,LAX,International,Domestic,605506.0
NK,EWR,Domestic,Domestic,605186.0
NK,MSP,Domestic,Domestic,601693.0
AA,PDX,Domestic,Domestic,601673.0
NK,DEN,Domestic,Domestic,594983.0
WN,SJU,Domestic,Domestic,594744.0
AA,SLC,Domestic,Domestic,587450.0
WW,KEF,International,International,585334.0
BA,BOS,International,Domestic,580799.0
AA,BDL,Domestic,Domestic,580671.0
UA,MEX,International,International,573737.0
F9,AUS,Domestic,Domestic,572888.0
HA,ITO,Domestic,Domestic,572478.0
B6,SDQ,International,International,570014.0
DL,SEA,International,Domestic,569781.0
AA,MCI,Domestic,Domestic,569289.0
WN,CUN,International,International,568587.0
UA,ATL,Domestic,Domestic,566861.0
AA,SMF,Domestic,Domestic,566657.0
AS,JFK,Domestic,Domestic,563746.0
AS,EWR,Domestic,Domestic,562870.0
DL,MEM,Domestic,Domestic,561704.0
UA,DCA,Domestic,Domestic,561584.0
AS,SNA,Domestic,Domestic,559589.0
DL,CLT,Domestic,Domestic,559444.0
DL,STL,Domestic,Domestic,558518.0
B6,RSW,Domestic,Domestic,557864.0
WN,ALB,Domestic,Domestic,554141.0
ZX,YYZ,International,International,552223.0
F9,ATL,Domestic,Domestic,552013.0
OO,BOI,Domestic,Domestic,551923.0
OO,SAN,Domestic,Domestic,551904.0
DL,BDL,Domestic,Domestic,547822.0
G4,CVG,Domestic,Domestic,541421.0
UA,PHL,Domestic,Domestic,541402.0
DL,SNA,Domestic,Domestic,539030.0
AA,HNL,Domestic,Domestic,536286.0
9E,CVG,Domestic,Domestic,534602.0
AF,JFK,International,Domestic,533791.0
UA,RDU,Domestic,Domestic,533607.0
NK,ACY,Domestic,Domestic,533365.0
F9,CVG,Domestic,Domestic,533080.0
AA,MEX,International,International,525998.0
UA,GUM,International,Domestic,523263.0
WN,TUL,Domestic,Domestic,521281.0
WN,SDF,Domestic,Domestic,518606.0
TA,SAL,International,International,517538.0
UA,SAT,Domestic,Domestic,516664.0
WN,ISP,Domestic,Domestic,515651.0
EV,ATL,Domestic,Domestic,509773.0
DL,SAT,Domestic,Domestic,506534.0
OH,PHL,Domestic,Domestic,503120.0
HA,LAX,Domestic,Domestic,498531.0
WN,BOI,Domestic,Domestic,498210.0
WN,MHT,Domestic,Domestic,497247.0
WN,HOU,International,Domestic,496891.0
EV,DFW,Domestic,Domestic,496450.0
AC,YVR,International,International,495245.0
UA,BWI,Domestic,Domestic,491091.0
EK,JFK,International,Domestic,489949.0
DL,PIT,Domestic,Domestic,489944.0
AC,LGA,International,Domestic,487379.0
F9,TPA,Domestic,Domestic,486172.0
WN,TUS,Domestic,Domestic,483608.0
AA,SJC,Domestic,Domestic,483506.0
WS,LAS,International,Domestic,481352.0
AC,SFO,International,Domestic,481210.0
WN,BHM,Domestic,Domestic,477588.0
DL,CHS,Domestic,Domestic,474175.0
UA,OGG,Domestic,Domestic,473338.0
RV,YUL,International,International,472577.0
AA,IND,Domestic,Domestic,468563.0
BA,MIA,International,Domestic,466790.0
DL,CMH,Domestic,Domestic,466459.0
ZW,IAD,Domestic,Domestic,465563.0
UA,DEN,International,Domestic,464747.0
UA,MSP,Domestic,Domestic,462694.0
AZ,FCO,International,International,462642.0
G7,DEN,Domestic,Domestic,462178.0
F9,CLE,Domestic,Domestic,461405.0
F9,ORD,Domestic,Domestic,460356.0
YX,DTW,Domestic,Domestic,460262.0
AA,TUS,Domestic,Domestic,459690.0
JJ,GRU,International,International,458805.0
AS,ORD,Domestic,Domestic,458324.0
AS,OGG,Domestic,Domestic,457645.0
WN,GEG,Domestic,Domestic,456432.0
SU,SVO,International,International,456211.0
EY,AUH,International,International,456008.0
YX,PIT,Domestic,Domestic,453126.0
PD,YTZ,International,International,449596.0
MQ,LGA,Domestic,Domestic,448814.0
NK,PHL,Domestic,Domestic,447122.0
AS,LAX,International,Domestic,447101.0
G4,FLL,Domestic,Domestic,445734.0
NK,RSW,Domestic,Domestic,443135.0
PT,CLT,Domestic,Domestic,438825.0
AS,HNL,Domestic,Domestic,438782.0
AA,GRU,International,International,438654.0
UA,SMF,Domestic,Domestic,438202.0
VX,LAX,Domestic,Domestic,437257.0
AA,MBJ,International,International,437226.0
UA,YVR,International,International,437204.0
QX,GEG,Domestic,Domestic,435419.0
OO,LGA,Domestic,Domestic,433357.0
OO,DFW,Domestic,Domestic,432823.0
OO,BNA,Domestic,Domestic,431224.0
QF,LAX,International,Domestic,431036.0
BA,SFO,International,Domestic,430964.0
DL,NRT,International,International,430895.0
NK,CLE,Domestic,Domestic,429784.0
RV,LAS,International,Domestic,429625.0
QF,SYD,International,International,429611.0
NZ,AKL,International,International,429246.0
B6,STI,International,International,428107.0
JL,HNL,International,Domestic,428014.0
DL,SJC,Domestic,Domestic,427586.0
DL,RIC,Domestic,Domestic,427290.0
YV,IAH,International,Domestic,426175.0
UA,RSW,Domestic,Domestic,426138.0
CZ,CAN,International,International,426023.0
AA,PHX,International,Domestic,425264.0
PR,LAX,International,Domestic,424436.0
CI,TPE,International,International,423981.0
AS,BOS,Domestic,Domestic,421483.0
DL,CLE,Domestic,Domestic,418651.0
B6,BDL,Domestic,Domestic,418572.0
NZ,LAX,International,Domestic,415551.0
AA,GCM,International,International,415438.0
AS,PHX,Domestic,Domestic,415281.0
NK,OAK,Domestic,Domestic,414422.0
B6,BUF,Domestic,Domestic,413789.0
LY,TLV,International,International,412994.0
AS,FAI,Domestic,Domestic,412957.0
AA,JAX,Domestic,Domestic,411436.0
DL,SLC,International,Domestic,411111.0
QK,YVR,International,International,410301.0
DY,JFK,International,Domestic,404865.0
DL,GRR,Domestic,Domestic,404492.0
OO,FAT,Domestic,Domestic,401656.0
VS,MCO,International,Domestic,400057.0
EV,ORD,Domestic,Domestic,397129.0
DL,BHM,Domestic,Domestic,396967.0
DL,MEX,International,International,396374.0
AS,JNU,Domestic,Domestic,394256.0
WS,LAX,International,Domestic,393115.0
DL,BOS,International,Domestic,391937.0
AA,PUJ,International,International,391867.0
AA,SJD,International,International,391599.0
BW,POS,International,International,389966.0
F9,TTN,Domestic,Domestic,389452.0
DL,IAH,Domestic,Domestic,389254.0
DL,SAV,Domestic,Domestic,388475.0
RV,FLL,International,Domestic,386891.0
OO,IAH,Domestic,Domestic,386779.0
MQ,MIA,Domestic,Domestic,386777.0
AA,ONT,Domestic,Domestic,385906.0
DL,ABQ,Domestic,Domestic,385662.0
CP,SLC,Domestic,Domestic,385539.0
CP,SJC,Domestic,Domestic,385249.0
KV,YUL,International,International,384242.0
AM,GDL,International,International,383752.0
BA,ORD,International,Domestic,383518.0
WN,MEM,Domestic,Domestic,382992.0
OO,SJC,Domestic,Domestic,379684.0
DL,ORF,Domestic,Domestic,379274.0
Y4,LAX,International,Domestic,378389.0
B6,MCO,International,Domestic,377528.0
B6,HPN,Domestic,Domestic,375349.0
F9,RSW,Domestic,Domestic,374962.0
UA,PVG,International,International,374217.0
