Airline,Dest_Airport,Passengers
Air Canada rouge LP,FLL,388240.0
American Airlines Inc.,ONT,386059.0
Compass Airlines,SJC,385249.0
Sky Regional Airlines Inc.,YUL,384242.0
Aeromexico,GDL,383752.0
Southwest Airlines Co.,MEM,382992.0
SkyWest Airlines Inc.,SJC,379405.0
Delta Air Lines Inc.,ORF,379274.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),LAX,378389.0
JetBlue Airways,HPN,375349.0
Frontier Airlines Inc.,RSW,374962.0
GoJet Airlines LLC d/b/a United Express,DEN,374057.0
Frontier Airlines Inc.,RDU,370878.0
Trans States Airlines,DCA,370619.0
Delta Air Lines Inc.,SJU,369906.0
JetBlue Airways,ATL,369179.0
American Airlines Inc.,CDG,367677.0
Delta Air Lines Inc.,IAD,366324.0
ExpressJet Airlines LLC,DFW,362773.0
Aerovias Nacl De Colombia,MIA,359503.0
Alaska Airlines Inc.,JNU,358843.0
JetBlue Airways,JAX,358813.0
Delta Air Lines Inc.,YYZ,358582.0
SkyWest Airlines Inc.,IAH,358254.0
American Airlines Inc.,IAD,356503.0
JetBlue Airways,SLC,355329.0
Delta Air Lines Inc.,SMF,354965.0
Scandinavian Airlines Sys.,CPH,354400.0
American Airlines Inc.,OGG,353721.0
Alaska Airlines Inc.,SJD,352900.0
SkyWest Airlines Inc.,TUS,352852.0
Delta Air Lines Inc.,PNS,351886.0
SkyWest Airlines Inc.,PDX,351499.0
Virgin Atlantic Airways,MAN,349509.0
Southwest Airlines Co.,CHS,347846.0
Aeromexico,LAX,347294.0
Republic Airline,BOS,347177.0
Southwest Airlines Co.,CLT,346711.0
Transportes Aeros Meridiona,MIA,344646.0
Alaska Airlines Inc.,OAK,344244.0
SkyWest Airlines Inc.,DFW,343936.0
British Airways Plc,LGW,343790.0
Frontier Airlines Inc.,PHX,341034.0
American Airlines Inc.,TUL,334434.0
Southwest Airlines Co.,LGB,334225.0
Southwest Airlines Co.,ORF,333762.0
United Air Lines Inc.,PEK,333053.0
Air Canada rouge LP,MCO,330665.0
Tap-Portuguese Airlines,LIS,330299.0
Norwegian Air Shuttle ASA,LAX,329380.0
Japan Air Lines Co. Ltd.,HNL,328626.0
Spirit Air Lines,SAN,327863.0
United Air Lines Inc.,BNA,327000.0
Norwegian Air Shuttle ASA,CDG,324528.0
American Airlines Inc.,MEM,323553.0
Republic Airline,RDU,322492.0
United Air Lines Inc.,PIT,322131.0
National Aviation Company of India Limited d/b/a Air India,DEL,318727.0
ExpressJet Airlines LLC,ORD,317125.0
ExpressJet Airlines LLC,CLE,315754.0
American Airlines Inc.,CLE,315333.0
Southwest Airlines Co.,PBI,315328.0
Horizon Air,BOI,315305.0
Lufthansa German Airlines,JFK,314963.0
Hong Kong Airlines Limited,HKG,314714.0
Air New Zealand,LAX,314064.0
American Airlines Inc.,ABQ,313976.0
Delta Air Lines Inc.,ANC,313768.0
Cathay Pacific Airways Ltd.,JFK,313669.0
American Airlines Inc.,MAD,313534.0
Compagnia Aerea Italiana,JFK,311108.0
Endeavor Air Inc.,RDU,310532.0
Southwest Airlines Co.,MAF,310166.0
Spirit Air Lines,SEA,308022.0
United Air Lines Inc.,MUC,306268.0
Republic Airline,MSP,305121.0
United Air Lines Inc.,CDG,303489.0
Southwest Airlines Co.,IAD,303031.0
British Airways Plc,LAX,302753.0
SkyWest Airlines Inc.,SMF,302469.0
United Air Lines Inc.,PBI,300025.0
American Airlines Inc.,CMH,299753.0
Eva Airways Corporation,LAX,299369.0
Delta Air Lines Inc.,PUJ,299155.0
Virgin Atlantic Airways,LGW,298031.0
United Air Lines Inc.,SJU,297724.0
Endeavor Air Inc.,BOS,296607.0
United Air Lines Inc.,SJD,295603.0
Alaska Airlines Inc.,SMF,294738.0
United Air Lines Inc.,GRU,291129.0
British Airways Plc,BOS,290796.0
United Air Lines Inc.,TLV,290196.0
Southwest Airlines Co.,MBJ,289925.0
Lufthansa German Airlines,LAX,289780.0
Republic Airline,ATL,289421.0
Delta Air Lines Inc.,BUF,289390.0
Eva Airways Corporation,SFO,288772.0
Air Wisconsin Airlines Corp,IAD,288613.0
Aeroflot Russian Airlines,JFK,288607.0
Frontier Airlines Inc.,SAT,288490.0
Southwest Airlines Co.,CVG,287980.0
"Commutair Aka Champlain Enterprises, Inc.",IAD,286740.0
American Airlines Inc.,PVD,284911.0
Frontier Airlines Inc.,STL,284082.0
Lan-Chile Airlines,SCL,283612.0
Air China,LAX,283504.0
Compania Panamena (Copa),MIA,283057.0
United Air Lines Inc.,HKG,283010.0
ExpressJet Airlines LLC,ATL,282594.0
Compass Airlines,SFO,282479.0
JetBlue Airways,AUS,282463.0
Thomas Cook Airlines Uk Ltd.,MAN,280848.0
American Airlines Inc.,RIC,280722.0
Delta Air Lines Inc.,OMA,280639.0
Southwest Airlines Co.,SJD,280208.0
Cathay Pacific Airways Ltd.,SFO,280114.0
American Airlines Inc.,NRT,279668.0
Spirit Air Lines,PIT,279555.0
Alaska Airlines Inc.,DEN,277822.0
Lan Peru Airlines,LIM,276797.0
United Air Lines Inc.,BDL,276650.0
Compass Airlines,SLC,276024.0
Turk Hava Yollari A.O.,JFK,275520.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),MEX,274645.0
SkyWest Airlines Inc.,OKC,274430.0
Frontier Airlines Inc.,SLC,274216.0
United Air Lines Inc.,AMS,274098.0
SkyWest Airlines Inc.,COS,273804.0
Alaska Airlines Inc.,KOA,273690.0
JetBlue Airways,RDU,273474.0
Southwest Airlines Co.,LIT,273080.0
United Air Lines Inc.,SLC,272777.0
United Air Lines Inc.,KOA,272709.0
Polskie Linie Lotnicze,WAW,272561.0
Delta Air Lines Inc.,MBJ,272361.0
JetBlue Airways,SEA,270146.0
Frontier Airlines Inc.,ISP,269869.0
Frontier Airlines Inc.,MIA,269830.0
Spirit Air Lines,CUN,269711.0
Delta Air Lines Inc.,MSN,269354.0
Frontier Airlines Inc.,CUN,268693.0
Philippine Airlines Inc.,SFO,267802.0
SkyWest Airlines Inc.,MKE,267383.0
Republic Airline,BNA,267321.0
Cathay Pacific Airways Ltd.,LAX,267155.0
Lufthansa German Airlines,ORD,266965.0
All Nippon Airways Co.,HND,265554.0
American Airlines Inc.,OKC,265265.0
Southwest Airlines Co.,LBB,264140.0
United Air Lines Inc.,SJC,263295.0
Mesa Airlines Inc.,ELP,263152.0
Frontier Airlines Inc.,SAN,263067.0
JetBlue Airways,CUN,262933.0
JetBlue Airways,CHS,262874.0
Compass Airlines,SMF,262844.0
Air Canada rouge LP,YVR,262814.0
Frontier Airlines Inc.,COS,261950.0
Air Canada,YUL,261172.0
Scandinavian Airlines Sys.,EWR,261036.0
Republic Airline,MCI,260764.0
Compagnie Natl Air France,LAX,259276.0
Delta Air Lines Inc.,GRU,259142.0
Delta Air Lines Inc.,LIT,255786.0
JetBlue Airways,SAN,255567.0
Allegiant Air,FLL,255044.0
ABC Aerolineas SA de CV dba Interjet,LAX,254772.0
Republic Airline,DEN,254526.0
Austrian Airlines,VIE,253985.0
JetBlue Airways,ORD,253422.0
Hainan Airlines Company Limited,PEK,252988.0
Lufthansa German Airlines,SFO,252553.0
Delta Air Lines Inc.,NAS,252050.0
PSA Airlines Inc.,DAY,250766.0
American Airlines Inc.,ORF,250275.0
Lufthansa German Airlines,EWR,250024.0
Alaska Airlines Inc.,DCA,249813.0
Frontier Airlines Inc.,MKE,248857.0
JetBlue Airways,PUJ,248773.0
American Airlines Inc.,BCN,248520.0
United Air Lines Inc.,SJO,248519.0
PSA Airlines Inc.,CVG,247780.0
American Airlines Inc.,FCO,247360.0
American Airlines Inc.,YYZ,246572.0
Westjet,LGA,246428.0
JetBlue Airways,BWI,245507.0
Delta Air Lines Inc.,GEG,244895.0
United Air Lines Inc.,PUJ,244790.0
ExpressJet Airlines LLC,LGA,244025.0
Westjet,PHX,243978.0
American Airlines Inc.,PAP,243313.0
Delta Air Lines Inc.,FCO,241441.0
Alaska Airlines Inc.,MCO,241017.0
Frontier Airlines Inc.,MSP,240796.0
SkyWest Airlines Inc.,DAL,239357.0
Endeavor Air Inc.,YUL,238065.0
Etihad Airways,JFK,238059.0
Delta Air Lines Inc.,SDQ,237926.0
Southwest Airlines Co.,GRR,237332.0
SkyWest Airlines Inc.,PSP,236250.0
Spirit Air Lines,BDL,235619.0
JetBlue Airways,NAS,234242.0
British Airways Plc,MIA,234157.0
JetBlue Airways,PHL,233939.0
Hawaiian Airlines Inc.,LAS,233788.0
Delta Air Lines Inc.,VPS,233637.0
Klm Royal Dutch Airlines,JFK,233442.0
Alaska Airlines Inc.,PSP,233394.0
United Air Lines Inc.,BRU,232275.0
Alaska Airlines Inc.,BUR,231859.0
SkyWest Airlines Inc.,SNA,231306.0
GoJet Airlines LLC d/b/a United Express,RDU,230652.0
American Airlines Inc.,PVR,230338.0
JetBlue Airways,RIC,229432.0
American Airlines Inc.,SJO,229272.0
JetBlue Airways,AUA,228882.0
United Air Lines Inc.,MCI,228765.0
Compania Panamena (Copa),MCO,228756.0
Aer Lingus Plc,JFK,228598.0
Bahamasair Holding Limited,NAS,227972.0
Alaska Airlines Inc.,DFW,227885.0
Aer Lingus Plc,BOS,227403.0
Virgin Blue International Airlines t/a V Australia,LAX,226947.0
Compass Airlines,SAN,226776.0
Norwegian Air Shuttle ASA,EWR,226745.0
Compagnie Natl Air France,ATL,225211.0
Frontier Airlines Inc.,SJU,224775.0
Southwest Airlines Co.,ROC,223778.0
United Air Lines Inc.,OMA,223607.0
American Airlines Inc.,HAV,222600.0
United Air Lines Inc.,PVR,222267.0
Envoy Air,CMH,221535.0
Delta Air Lines Inc.,HOU,221518.0
Lufthansa German Airlines,BOS,221479.0
Republic Airline,DFW,220942.0
Delta Air Lines Inc.,OKC,220824.0
American Airlines Inc.,RNO,220769.0
JetBlue Airways,KIN,220619.0
Spirit Air Lines,SJU,219996.0
Aerovias Nacl De Colombia,JFK,219905.0
Delta Air Lines Inc.,MDW,219321.0
Alaska Airlines Inc.,SLC,218229.0
Spirit Air Lines,MCI,218194.0
American Airlines Inc.,YVR,218070.0
Alaska Airlines Inc.,AUS,217723.0
American Airlines Inc.,OMA,217553.0
Air Canada,ORD,216627.0
United Air Lines Inc.,LIH,216593.0
Republic Airline,CVG,216404.0
Envoy Air,JFK,216248.0
British Airways Plc,SFO,215646.0
Delta Air Lines Inc.,JAN,215550.0
Envoy Air,LIT,215338.0
Lufthansa German Airlines,IAD,215328.0
Aeromexico,JFK,214825.0
Scandinavian Airlines Sys.,ARN,214731.0
